playerName,2ptMake,2ptMiss,3ptMake,3ptMiss
Blake Griffin,,,,
Caris LeVert,,,,
Chris Paul,,,,
Damian Lillard,0.51,0.49,0.379,0.621
Devin Booker,0.543,0.457,0.34,0.66
Donovan Mitchell,,,,
Duncan Robinson,,,,
Giannis Antetokounmpo,,,,
James Harden,0.548,0.452,0.361,0.639
Joe Harris,,,,
Jordan Poole,,,,
Kemba Walker,,,,
Kevin Durant,0.576,0.424,0.448,0.552
Khris Middleton,,,,
Killian Hayes,,,,
Kyrie Irving,0.575,0.425,0.398,0.602
LaMelo Ball,0.503,0.497,0.375,0.625
LeBron James,0.592,0.408,0.386,0.614
Luka Doncic,0.564,0.436,0.364,0.636
Saddiq Bey,0.473,0.527,0.386,0.614
Stephen Curry,0.58,0.42,0.422,0.578
Trae Young,0.472,0.528,0.358,0.642
Tyler Herro,,,,
