playerName,2ptMake,2ptMiss,3ptMake,3ptMiss
Adrien Nunez,,,,
Austin Davis,0.688,0.322,1.00E-17,1.00E-17
Brandon Johns Jr,0.581,0.419,0.351,0.649
Brandon Wade,,,,
C.J. Baird,,,,
Cade Cunningham,0.461,0.539,0.4,0.6
Chaundee Brown,0.49,0.51,0.352,0.648
Eli Brooks,0.452,0.548,0.348,0.652
Franz Wagner,0.583,0.417,0.325,0.675
Hunter Dickinson,0.607,0.393,1.00E-17,1.00E-17
Isaiah Livers,0.526,0.474,0.412,0.588
Jace Howard,0.4,0.6,0.5,0.5
Jalen Green,0.529,0.471,0.365,0.635
Jaron Faulds,,,,
Luke Wilson,,,,
Mike Smith,0.447,0.553,0.343,0.657
Rico Ozuna-Harrison,,,,
Terrance Williams,0.52,0.48,0.071,0.929
Zeb Jackson,0.231,0.769,0.154,0.846
